Time,Range,Angle,X,Y,Velocity
0,294.12563106265503,3.01,-38.116984567999395,15.128387395831147,4.3105847857245765
1,293.74414515985,3.01,-37.73261730429584,15.084191918659464,4.3105847857245765
2,293.36265925704504,3.01,-37.34823575249777,15.039994798608149,4.3105847857245765
3,292.98117335424,3.02,-36.95807663170939,15.045880164662783,4.3105847857245765
4,292.59968745143505,3.02,-36.57367405144953,15.001612647430441,4.3105847857245765
5,292.21820154863,3.04,-36.17773529166942,15.05724035135026,4.3105847857245765
6,292.59968745143505,3.05,-36.55635516536506,15.151657741636683,4.3105847857245765
7,291.836715645825,3.05,-35.78755302838698,15.062715148472321,4.3105847857245765
8,291.836715645825,3.07,-35.77599455266835,15.162471807381927,4.3105847857245765
9,291.45522974302,3.07,-35.39158719554064,15.117863798359856,4.3105847857245765
10,291.45522974302,3.07,-35.39158719554064,15.117863798359856,4.3105847857245765
11,290.69225793741003,3.07,-34.622728515441736,15.028642678361471,4.3105847857245765
12,290.69225793741003,3.09,-34.61118200422379,15.127992738895976,4.3105847857245765
13,290.310772034605,3.09,-34.226746158666,15.083245417970197,4.3105847857245765
14,289.9292861318,3.1,-33.83652487076614,15.088035695430477,4.3105847857245765
15,289.5478002289951,3.1,-33.45206715369318,15.04321781770426,4.3105847857245765
16,288.784828423385,3.11,-32.67735106587003,15.002913839641344,4.3105847857245765
17,288.784828423385,3.11,-32.67735106587003,15.002913839641344,4.3105847857245765
18,288.40334252058005,3.12,-32.287099631715364,15.007292505702708,4.3105847857245765
19,288.02185661777503,3.13,-31.89684017441948,15.011534184705347,4.3105847857245765
20,287.64037071497006,3.14,-31.506572668280683,15.015638864081154,4.3105847857245765
