Time,Range,Angle,X,Y,Velocity
0,293.74414515985,2.99,-37.74414833597484,14.983752274348106,5.309752355421477
1,293.438956437606,3.0,-37.43087694062666,14.998668705473222,5.309752355421477
2,293.286362076484,3.02,-37.26558832302027,15.0812929839135,5.309752355421477
3,292.675984631996,3.03,-36.64478994336736,15.060495740855949,5.309752355421477
4,292.44709309031305,3.03,-36.4141478336806,15.033894376545554,5.309752355421477
5,292.141904368069,3.03,-36.10661690755728,14.99842495505252,5.309752355421477
6,291.684121284703,3.01,-35.65678572017572,14.845507784885314,5.840727590963624
7,291.378932562459,3.04,-35.332000660121025,14.959547031637378,5.840727590963624
8,291.378932562459,3.04,-35.332000660121025,14.959547031637378,5.309752355421477
9,291.226338201337,3.06,-35.16670690288976,15.041327702150205,5.309752355421477
10,290.539663576288,3.06,-34.47470685090042,14.961147933845517,5.840727590963624
11,290.539663576288,3.07,-34.46894971256529,15.010797634298392,5.309752355421477
12,290.158177673483,3.08,-34.07873434080312,15.015765417810918,5.309752355421477
13,290.08188049292204,3.09,-33.996077544562525,15.056396198205533,5.309752355421477
14,289.54780022899496,3.09,-33.45782996590566,14.993745596244267,5.309752355421477
15,289.013719965068,3.1,-32.91380124641637,14.980469862479971,5.840727590963624
16,289.013719965068,3.11,-32.90804075954247,15.02984713321883,5.309752355421477
17,288.708531242824,3.12,-32.594690465093834,15.043258515565157,5.309752355421477
18,288.40334252058,3.12,-32.28709963171531,15.0072925057027,5.309752355421477
19,288.17445097889697,3.13,-32.05063971185979,15.029544882110336,5.309752355421477
19,295.346385951631,3.13,-39.27654979129596,15.875735202850791,5.840727590963624
19,294.12563106265503,3.13,-38.04696877538612,15.731745097412023,5.840727590963624
19,281.918082172895,3.13,-25.74282384118601,14.290867999046533,5.840727590963624
19,280.697327283919,3.13,-24.511531040544412,14.146677435028103,5.840727590963624
20,287.716667895531,3.14,-31.583474208177563,15.02465802638796,5.309752355421477
20,293.820442340411,3.14,-37.733665430528674,15.745964425800018,5.840727590963624
20,295.041197229387,3.14,-38.96325754435725,15.890173382612275,5.840727590963624
