u,v,i,j,X,Y
1594,1848,0,0,0.0,0.0
1424,1535,1,17,0.2,3.4000000000000004
1743,1591,11,8,2.2,1.6
2295,1433,36,4,7.2,0.8
1533,1616,3,11,0.6000000000000001,2.2
1473,1856,-4,2,-0.8,0.4
