u,v,i,j,X,Y
1508,1918,0,0,0.0,0.0
1346,1521,1,0,5.0,0.0
3052,857,2,0,15.4,17.083325203250098
2626,1400,3,0,-10.0,0.0
250,2143,4,0,-1.9,9.817840903172144
