Time,Range,Angle,X,Y,Velocity,Power
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,296.261952118363,2.96,-40.298195253322035,15.122531691392794,10.789412505668365,-17.757408093483996
16,296.109357757241,2.96,-40.14446624232829,15.104991471984661,10.789412505668365,-17.158110240343273
17,295.804169034997,2.93,-39.854277158959974,14.918147443953863,10.789412505668365,-16.178408670960586
18,295.498980312753,2.95,-39.535289113721205,14.984295107076008,10.789412505668365,-15.88862711603686
19,295.19379159050897,2.96,-39.22204521251666,14.999744797040364,10.789412505668365,-16.65801380906311
20,294.888602868265,2.97,-38.90879574022142,15.0150851207801,10.789412505668365,-17.24846535153717
21,294.583414146021,2.97,-38.601301178953406,14.979946145213681,10.789412505668365,-18.77063412069353
22,294.354522604338,3.0,-38.353380322252974,15.104577241793258,10.789412505668365,-15.337257576381326
23,294.04933388209395,3.03,-38.028533804050255,15.220091378444835,10.789412505668365,-18.591678729259737
24,293.820442340411,2.99,-37.821026010719834,14.99256466616869,10.789412505668365,-16.66862160179
25,293.515253618167,3.0,-37.507755365037326,15.007494777622213,10.789412505668365,-17.69730004260714
26,293.210064895923,3.0,-37.20023822532926,14.972190093857925,10.789412505668365,-17.383795653065796
27,293.057470534801,3.02,-37.034955417556034,15.054733468860086,10.789412505668365,-18.80576226573836
28,292.44709309031305,2.98,-36.442866282686566,14.783938334695996,10.789412505668365,-17.40567094550796
29,292.141904368069,3.02,-36.11237186150947,14.9484894279435,10.789412505668365,-16.948122306127146
30,291.836715645825,3.05,-35.78755302838698,15.062715148472321,10.789412505668365,-18.087546623309343
31,291.684121284703,3.03,-35.64530307209537,14.945218810627225,10.789412505668365,-22.908091388592062
32,291.378932562459,3.06,-35.32047822462192,15.05914467906075,10.789412505668365,-18.20173319390189
33,291.073743840215,3.06,-35.01293323374472,15.023510453252655,10.789412505668365,-17.92632644071319
34,290.921149479093,3.05,-34.86491345483847,14.955975127496274,10.789412505668365,-19.136054273500473
35,290.615960756849,3.05,-34.55734813028158,14.92039294553063,10.789412505668365,-21.12097067232836
36,290.234474854044,3.08,-34.15562543953024,15.024701737821573,10.789412505668365,-16.51643042424844
37,289.9292861318,3.09,-33.84229549931837,15.038496372758253,10.789412505668365,-17.254744831280497
38,289.852988951239,3.08,-33.77116400581576,14.98001944740949,10.789412505668365,-18.04362366285712
39,289.318908687312,3.1,-33.22138535884574,15.01632625586008,10.789412505668365,-17.55562756614982
40,289.09001714562896,3.1,-32.99069817448492,14.98943406573732,10.789412505668365,-18.012670155310733
41,288.784828423385,3.09,-32.688854034132305,14.904238821054399,10.789412505668365,-16.32679986755366
