Time,Range,Angle,X,Y,Velocity,Power
32,282.22327089513897,1.67,-26.78466192217371,7.282910421448662,10.789412505668365,-6.488979589512645
33,281.689190631212,1.68,-26.240169460085042,7.281789792868562,10.789412505668365,-3.4574112511551087
34,281.307704728407,1.69,-25.849971117349412,7.294627376621101,10.789412505668365,-5.052481257946981
35,280.77362446448,1.69,-25.309849316809846,7.245099803254686,10.789412505668365,-5.234227659137709
36,280.315841381114,1.71,-24.838047965043188,7.298583358885992,10.789412505668365,-4.614985697025614
37,279.781761117187,1.72,-24.293472460878036,7.296735346447999,10.789412505668365,-5.223855899546539
38,279.24768085326,1.73,-23.748873361799667,7.294694998547683,10.789412505668365,-5.345740861159647
39,278.789897769894,1.73,-23.28583598138988,7.251909838679968,10.789412505668365,-5.690635215409527
40,278.255817505967,1.75,-22.736781291982936,7.297195623290879,10.789412505668365,-5.167272953677401
41,277.798034422601,1.76,-22.269294362727976,7.301764291898152,10.789412505668365,-5.756425288469695
42,277.340251339235,1.78,-21.797368757290656,7.353606242966578,10.789412505668365,-5.044033962003479
43,276.882468255869,1.78,-21.334267091845277,7.310407527210614,10.789412505668365,-6.064863299605556
44,276.348387991942,1.78,-20.793950518225984,7.260006106046287,10.789412505668365,-6.698051885663107
45,275.814307728015,1.8,-20.24478377172153,7.3039362878517515,10.789412505668365,-8.198635761690323
46,275.356524644649,1.81,-19.777201291661868,7.307653538353584,10.789412505668365,-5.3096864540700315
47,274.822444380722,1.81,-19.23681379586651,7.256960079252632,10.789412505668365,-8.806759010522697
48,274.364661297356,1.82,-18.769192396141875,7.260415426879838,10.789412505668365,-7.510532546279936
49,273.830581033429,1.84,-18.219933394050656,7.303249577798113,10.789412505668365,-6.789897759122234
50,273.372797950063,1.85,-17.75227145164422,7.30627968570283,10.789412505668365,-7.119031533242531
51,272.915014866697,1.86,-17.284590885819682,7.309144882619769,10.789412505668365,-0.47594429428138463
52,272.457231783331,1.88,-16.812469791994204,7.35841309175192,10.789412505668365,-7.040643654029811
53,271.92315151940403,1.87,-16.276367793669635,7.260567825271313,10.789412505668365,-5.877479410322596
54,271.46536843603803,1.9,-15.79979349332632,7.355789063229011,10.789412505668365,-6.5232247891858925
55,270.931288172111,1.9,-15.25923026184978,7.30422240438207,10.789412505668365,-5.7723561023879295
56,270.473505088745,1.9,-14.795861676435607,7.260019675870236,10.789412505668365,-6.494631074668629
57,269.939424824818,1.92,-14.246415839397173,7.3006875555971185,10.789412505668365,-5.778892701767556
58,269.481641741452,1.93,-13.77859279614654,7.302355980283313,10.789412505668365,-6.136409632815985
59,268.94756147752497,1.93,-13.237921680289105,7.25049334466658,10.789412505668365,-8.108076182251837
60,268.56607557472,1.95,-12.842888302592485,7.3051974573823095,10.789412505668365,-5.981693085362442
