n_train_a,n_guard_a,n_train_d,n_guard_d,n_train_r,n_guard_r,pfa,precision,recall,f1,tp,fp,fn
1,1,3,1,5,2,0.0001,0.02706386292834891,0.695,0.052098950524737626,139,4997,61
1,1,3,1,5,2,3e-05,0.028223220012828735,0.66,0.054131638302234976,132,4545,68
1,1,3,1,5,2,1e-05,0.028644028644028645,0.62,0.05475822477368073,124,4205,76
1,1,3,1,5,3,0.01,0.01187034872993419,0.965,0.023452214593839237,193,16066,7
1,1,3,1,5,3,0.003,0.017114220877458397,0.905,0.03359317000742391,181,10395,19
1,1,3,1,5,3,0.001,0.021900664841611264,0.84,0.04268834963791133,168,7503,32
1,1,3,1,5,3,0.0003,0.024426970051865483,0.73,0.04727213857859803,146,5831,54
1,1,3,1,5,3,0.0001,0.02571041948579161,0.665,0.04950679322538619,133,5040,67
1,1,3,1,5,3,3e-05,0.025177533892834086,0.585,0.048277284918506295,117,4530,83
1,1,3,1,5,3,1e-05,0.026497695852534562,0.575,0.05066079295154185,115,4225,85
1,1,3,2,5,2,0.01,0.011962017511407078,0.97,0.023632598367645266,194,16024,6
1,1,3,2,5,2,0.003,0.017450541246733856,0.935,0.034261634298277756,187,10529,13
1,1,3,2,5,2,0.001,0.022311356229631485,0.89,0.04353142577647347,178,7800,22
1,1,3,2,5,2,0.0003,0.025716498838109992,0.83,0.049887302779864764,166,6289,34
1,1,3,2,5,2,0.0001,0.026936619718309858,0.765,0.05204081632653061,153,5527,47
1,1,3,2,5,2,3e-05,0.027886115444617783,0.715,0.053678678678678676,143,4985,57
1,1,3,2,5,2,1e-05,0.028746565208201225,0.68,0.05516122490367066,136,4595,64
1,1,3,2,5,3,0.01,0.011444752521975105,0.97,0.02262258760422133,194,16757,6
1,1,3,2,5,3,0.003,0.01694915254237288,0.955,0.03330717586537623,191,11078,9
1,1,3,2,5,3,0.001,0.021537721092527974,0.895,0.04206321231347668,179,8132,21
1,1,3,2,5,3,0.0003,0.02532221379833207,0.835,0.04915378955114054,167,6428,33
1,1,3,2,5,3,0.0001,0.025917550878413638,0.745,0.0500924525130274,149,5600,51
1,1,3,2,5,3,3e-05,0.026244167962674963,0.675,0.05052395209580839,135,5009,65
1,1,3,2,5,3,1e-05,0.026265621690319846,0.62,0.05039626092257671,124,4597,76
1,1,5,1,5,2,0.01,0.012372175230400202,0.98,0.02443585587831941,196,15646,4
1,1,5,1,5,2,0.003,0.018227943249083906,0.97,0.03578345476344186,194,10449,6
1,1,5,1,5,2,0.001,0.02266152362584378,0.94,0.044256120527306965,188,8108,12
1,1,5,1,5,2,0.0003,0.02609830361026533,0.9,0.05072565872904044,180,6717,20
1,1,5,1,5,2,0.0001,0.027768756089639492,0.855,0.05379050015728216,171,5987,29
1,1,5,1,5,2,3e-05,0.028664142779881017,0.795,0.055333217330781274,159,5388,41
1,1,5,1,5,2,1e-05,0.02919851067999216,0.745,0.05619460682632472,149,4954,51
1,1,5,1,5,3,0.01,0.011898290753155766,0.985,0.023512561914423823,197,16360,3
1,1,5,1,5,3,0.003,0.017187915300788517,0.97,0.03377731348480891,194,11093,6
1,1,5,1,5,3,0.001,0.022370578589833684,0.955,0.043717097734035246,191,8347,9
1,1,5,1,5,3,0.0003,0.025805531793555745,0.905,0.050180205156639866,181,6833,19
1,1,5,1,5,3,0.0001,0.027741935483870966,0.86,0.05375,172,6028,28
1,1,5,1,5,3,3e-05,0.02832205201282508,0.795,0.054695562435500514,159,5455,41
1,1,5,1,5,3,1e-05,0.02827613104524181,0.725,0.054429429429429424,145,4983,55
1,1,5,2,5,2,0.01,0.012076852698993596,0.99,0.023862609219644473,198,16197,2
1,1,5,2,5,2,0.003,0.01734931139331068,0.97,0.034088912317694606,194,10988,6
1,1,5,2,5,2,0.001,0.02187712536839719,0.965,0.04278430503214365,193,8629,7
1,1,5,2,5,2,0.0003,0.024922118380062305,0.92,0.04852960569695371,184,7199,16
1,1,5,2,5,2,0.0001,0.026924822265920436,0.89,0.052268389370136545,178,6433,22
1,1,5,2,5,2,3e-05,0.028763666947014297,0.855,0.05565500406834825,171,5774,29
1,1,5,2,5,2,1e-05,0.029777128242601387,0.815,0.057455058160028195,163,5311,37
1,1,5,2,5,3,0.01,0.011670185315505512,0.995,0.02306978900996986,199,16853,1
1,1,5,2,5,3,0.003,0.016600321842974507,0.98,0.03264762222037145,196,11611,4
1,1,5,2,5,3,0.001,0.02132596685082873,0.965,0.04172972972972972,193,8857,7
1,1,5,2,5,3,0.0003,0.025363769857161926,0.95,0.04940839942790274,190,7301,10
1,1,5,2,5,3,0.0001,0.027002564489364913,0.895,0.052423488065602576,179,6450,21
1,1,5,2,5,3,3e-05,0.028352234823215475,0.85,0.054874112330535824,170,5826,30
1,1,5,2,5,3,1e-05,0.02871591114321835,0.795,0.0554296670733833,159,5378,41
2,1,1,1,5,2,0.01,0.01073853401690453,0.775,0.021183545168785022,155,14279,45
2,1,1,1,5,2,0.003,0.014642082429501085,0.675,0.02866242038216561,135,9085,65
2,1,1,1,5,2,0.001,0.01958266452648475,0.61,0.037947122861586316,122,6108,78
2,1,1,1,5,2,0.0003,0.02534768954688201,0.565,0.048518677544010305,113,4345,87
2,1,1,1,5,2,0.0001,0.028442317916002127,0.535,0.05401312468450278,107,3655,93
2,1,1,1,5,2,3e-05,0.030773827308037047,0.515,0.05807724837891176,103,3244,97
2,1,1,1,5,2,1e-05,0.03179860881086453,0.48,0.05964585274930104,96,2923,104
2,1,1,1,5,3,0.01,0.010171519744714799,0.765,0.020076105497966148,153,14889,47
2,1,1,1,5,3,0.003,0.01247987117552335,0.62,0.0244672454617206,124,9812,76
2,1,1,1,5,3,0.001,0.016888888888888887,0.57,0.03280575539568346,114,6636,86
2,1,1,1,5,3,0.0003,0.02262727844123193,0.54,0.04343454655137744,108,4665,92
2,1,1,1,5,3,0.0001,0.02681992337164751,0.525,0.05103280680437424,105,3810,95
2,1,1,1,5,3,3e-05,0.02972336668628605,0.505,0.05614230127848805,101,3297,99
2,1,1,1,5,3,1e-05,0.03241491085899514,0.5,0.060882800608828,100,2985,100
2,1,1,2,5,2,0.01,0.011449154177654852,0.89,0.022607480789991745,178,15369,22
2,1,1,2,5,2,0.003,0.015608128006282517,0.795,0.030615192067006834,159,10028,41
2,1,1,2,5,2,0.001,0.019966254218222724,0.71,0.038840262582056896,142,6970,58
2,1,1,2,5,2,0.0003,0.025289979083475946,0.665,0.04872687305367283,133,5126,67
2,1,1,2,5,2,0.0001,0.026863666890530557,0.6,0.051424898221555604,120,4347,80
2,1,1,2,5,2,3e-05,0.028672032193158954,0.57,0.05459770114942528,114,3862,86
2,1,1,2,5,2,1e-05,0.03048613018401538,0.555,0.05779744858109868,111,3530,89
2,1,1,2,5,3,0.01,0.01123946300343428,0.9,0.022201665124884366,180,15835,20
2,1,1,2,5,3,0.003,0.01466519092418373,0.795,0.028799130592284006,159,10683,41
2,1,1,2,5,3,0.001,0.017932489451476793,0.68,0.03494347379239466,136,7448,64
2,1,1,2,5,3,0.0003,0.02114087843994897,0.58,0.040794795146826095,116,5371,84
2,1,1,2,5,3,0.0001,0.024745912505523642,0.56,0.047397376216673726,112,4414,88
2,1,1,2,5,3,3e-05,0.02738005526249686,0.545,0.052140636211432674,109,3872,91
2,1,1,2,5,3,1e-05,0.02896174863387978,0.53,0.05492227979274611,106,3554,94
2,1,2,1,5,2,0.01,0.012106213631195238,0.905,0.02389281235562009,181,14770,19
2,1,2,1,5,2,0.003,0.017580797978734602,0.835,0.03443653984946902,167,9332,33
2,1,2,1,5,2,0.001,0.021654135338345863,0.72,0.04204379562043796,144,6506,56
2,1,2,1,5,2,0.0003,0.02619324796274738,0.675,0.05042958535674262,135,5019,65
2,1,2,1,5,2,0.0001,0.027244305493523895,0.61,0.05215904232578025,122,4356,78
2,1,2,1,5,2,3e-05,0.028330019880715707,0.57,0.05397727272727273,114,3910,86
2,1,2,1,5,2,1e-05,0.03039348710990502,0.56,0.05765765765765766,112,3573,88
2,1,2,1,5,3,0.01,0.011721001729328124,0.915,0.023145513185353826,183,15430,17
2,1,2,1,5,3,0.003,0.015698127925117003,0.805,0.03079571537872991,161,10095,39
2,1,2,1,5,3,0.001,0.019225410977988296,0.69,0.0374085117918135,138,7040,62
2,1,2,1,5,3,0.0003,0.022577610536218252,0.6,0.04351767905711696,120,5195,80
2,1,2,1,5,3,0.0001,0.02542560247623259,0.575,0.04869786152868939,115,4408,85
2,1,2,1,5,3,3e-05,0.027194066749072928,0.55,0.05182567726737338,110,3935,90
2,1,2,1,5,3,1e-05,0.028425851434700992,0.53,0.05395775006362942,106,3623,94
2,1,2,2,5,2,0.01,0.012096012096012096,0.96,0.023890997324706027,192,15681,8
2,1,2,2,5,2,0.003,0.017191423604404094,0.89,0.03373128671593708,178,10176,22
2,1,2,2,5,2,0.001,0.022502009107956068,0.84,0.04382989825202191,168,7298,32
2,1,2,2,5,2,0.0003,0.025513698630136986,0.745,0.04933774834437086,149,5691,51
2,1,2,2,5,2,0.0001,0.02697419859265051,0.69,0.05191873589164786,138,4978,62
2,1,2,2,5,2,3e-05,0.028328611898016998,0.65,0.054291083733556074,130,4459,70
2,1,2,2,5,2,1e-05,0.029137807499402913,0.61,0.055618873945748805,122,4065,78
2,1,2,2,5,3,0.01,0.011641302370702723,0.96,0.02300365422632241,192,16301,8
2,1,2,2,5,3,0.003,0.01649052478134111,0.905,0.03239083750894775,181,10795,19
2,1,2,2,5,3,0.001,0.02097813724251232,0.83,0.04092197707383212,166,7747,34
2,1,2,2,5,3,0.0003,0.02368726188504224,0.715,0.045855379188712526,143,5894,57
2,1,2,2,5,3,0.0001,0.025126606934164394,0.645,0.04836895388076491,129,5005,71
2,1,2,2,5,3,3e-05,0.025405168637757335,0.58,0.048678136802349975,116,4450,84
2,1,2,2,5,3,1e-05,0.027065868263473052,0.565,0.05165714285714286,113,4062,87
2,1,3,1,5,2,0.01,0.012395893860158822,0.96,0.024475747338899866,192,15297,8
2,1,3,1,5,2,0.003,0.018258852012508826,0.905,0.035795510728764954,181,9732,19
2,1,3,1,5,2,0.001,0.023697339246119734,0.855,0.04611650485436893,171,7045,29
2,1,3,1,5,2,0.0003,0.026156244586869912,0.755,0.05056085719069144,151,5622,49
2,1,3,1,5,2,0.0001,0.02683258798366712,0.69,0.05165637282425603,138,5005,62
2,1,3,1,5,2,3e-05,0.02857761420220827,0.66,0.054783150031126784,132,4487,68
2,1,3,1,5,2,1e-05,0.028882575757575756,0.61,0.05515370705244122,122,4102,78
2,1,3,1,5,3,0.01,0.0119283065512979,0.965,0.023565323565323565,193,15987,7
2,1,3,1,5,3,0.003,0.017329545454545455,0.915,0.03401486988847584,183,10377,17
2,1,3,1,5,3,0.001,0.02178734507501631,0.835,0.042466624284806104,167,7498,33
2,1,3,1,5,3,0.0003,0.02469758064516129,0.735,0.04778933680104031,147,5805,53
2,1,3,1,5,3,0.0001,0.02580019398642095,0.665,0.04967320261437908,133,5022,67
2,1,3,1,5,3,3e-05,0.025308241401687217,0.585,0.04851752021563343,117,4506,83
2,1,3,1,5,3,1e-05,0.027238275698720987,0.575,0.05201266395296247,115,4107,85
2,1,3,2,5,2,0.01,0.012041462354912793,0.97,0.023787627981117037,194,15917,6
2,1,3,2,5,2,0.003,0.017896032572673044,0.945,0.035126846947309734,189,10372,11
2,1,3,2,5,2,0.001,0.02288620470438652,0.9,0.044637321760694355,180,7685,20
2,1,3,2,5,2,0.0003,0.02666043030869972,0.855,0.051708497127305714,171,6243,29
2,1,3,2,5,2,0.0001,0.0272180982679392,0.77,0.05257767156025948,154,5504,46
2,1,3,2,5,2,3e-05,0.02807224185316058,0.715,0.05402342274272762,143,4951,57
2,1,3,2,5,2,1e-05,0.028864656831302116,0.675,0.05536190280910396,135,4542,65
2,1,3,2,5,3,0.01,0.011560693641618497,0.97,0.022849066603851362,194,16587,6
2,1,3,2,5,3,0.003,0.017202759609354,0.96,0.03379984156324267,192,10969,8
2,1,3,2,5,3,0.001,0.022141119221411192,0.91,0.04323040380047506,182,8038,18
2,1,3,2,5,3,0.0003,0.02541470095875818,0.835,0.049328016541131295,167,6404,33
2,1,3,2,5,3,0.0001,0.02676228791324121,0.765,0.051715396315700525,153,5564,47
2,1,3,2,5,3,3e-05,0.02700587084148728,0.69,0.0519774011299435,138,4972,62
