gamma,alpha_pos,best_val_loss,AP_cy,AP_ve,mAP
1.0,200.0,0.0001,0.5833,0.6574,0.6203
1.0,500.0,0.0003,0.5754,0.4781,0.5267
1.0,1000.0,0.0002,0.5866,0.5784,0.5825
2.0,200.0,0.0001,0.4965,0.7543,0.6254
2.0,500.0,0.0002,0.5792,0.5376,0.5584
2.0,1000.0,0.0001,0.5881,0.6967,0.6424
3.0,200.0,0.0001,0.7096,0.5346,0.6221
3.0,500.0,0.0001,0.6955,0.6632,0.6794
3.0,1000.0,0.0002,0.6063,0.6343,0.6203
