frame,t_s,track_id,cls,conf,x1,y1,x2,y2,foot_u,foot_v,X,Y
0,0.0,2.0,cyclist,0.43879812955856323,3518.360107421875,547.323486328125,3631.562255859375,673.5471801757812,3573.137939453125,673.5471801757812,34.81099878365167,0.8752226124971073
1,0.2,2.0,cyclist,0.3717390298843384,3519.804443359375,547.2566528320312,3628.0263671875,675.83251953125,3571.9588623046875,675.83251953125,34.75858621253126,0.8994770392197832
2,0.4,2.0,cyclist,0.46315857768058777,3514.556884765625,546.7102661132812,3630.974609375,676.5119018554688,3565.2001953125,676.5119018554688,34.67159495321582,0.8664024495349196
3,0.6000000000000001,2.0,cyclist,0.43988385796546936,3512.057861328125,545.89453125,3629.22021484375,676.4852294921875,3562.654296875,676.4852294921875,34.643677299476366,0.8500333786873672
4,0.8,2.0,cyclist,0.40032079815864563,3510.916015625,545.1131591796875,3625.34326171875,677.453369140625,3561.8177490234375,677.453369140625,34.61779942475825,0.8581926112387219
5,1.0,2.0,cyclist,0.5872321128845215,3509.439208984375,544.3592529296875,3619.512939453125,677.974853515625,3560.23583984375,677.974853515625,34.591268927253815,0.8554797151422441
6,1.2000000000000002,2.0,cyclist,0.48134493827819824,3503.025146484375,547.2109985351562,3611.749755859375,680.0724487304688,3555.665283203125,680.0724487304688,34.50461607960771,0.8558269792766283
7,1.4000000000000001,2.0,cyclist,0.4701733887195587,3498.6591796875,549.0682373046875,3608.76708984375,683.0128784179688,3553.713134765625,683.0128784179688,34.43290014182737,0.8842349027419433
8,1.6,2.0,cyclist,0.25721967220306396,3493.0546875,553.4141845703125,3608.222412109375,688.4729614257812,3550.6385498046875,688.4729614257812,34.30627125743043,0.9402545341608881
9,1.8,-1.0,pedestrian,0.25251686573028564,3497.921630859375,560.4362182617188,3596.79052734375,665.8842163085938,3547.3560791015625,665.8842163085938,34.65460755161361,0.6060165245894119
10,2.0,2.0,pedestrian,0.7375732064247131,3465.51611328125,570.0062866210938,3610.90673828125,698.2861328125,3538.21142578125,698.2861328125,34.00385023588094,0.9973249637663646
11,2.2,2.0,pedestrian,0.4693785607814789,3452.787841796875,569.402587890625,3598.64013671875,701.3192749023438,3525.7139892578125,701.3192749023438,33.81543856897765,0.9609987384367464
12,2.4000000000000004,-1.0,cyclist,0.2587248384952545,3448.529296875,574.1922607421875,3561.8408203125,710.489501953125,3502.833984375,710.489501953125,33.4123693704844,0.9441317677936732
17,3.4000000000000004,-1.0,pedestrian,0.3402770459651947,3437.644775390625,608.4580688476562,3500.892333984375,708.2677612304688,3469.2685546875,708.2677612304688,33.08037888226735,0.7056798870486103
18,3.6,-1.0,pedestrian,0.7273456454277039,3370.210205078125,616.5640869140625,3484.47607421875,750.8115234375,3427.3431396484375,750.8115234375,31.94640432343113,1.024613719122611
20,4.0,-1.0,pedestrian,0.5935214757919312,3371.126953125,636.4110717773438,3445.740234375,751.2870483398438,3408.43359375,751.2870483398438,31.735322507852096,0.9156731857935886
23,4.6000000000000005,-1.0,pedestrian,0.5110383033752441,3306.156982421875,667.4074096679688,3380.22021484375,774.0784301757812,3343.1885986328125,774.0784301757812,30.689140110779054,0.8246439483571653
34,6.800000000000001,-1.0,cyclist,0.2893565893173218,2949.904541015625,855.9673461914062,3024.813720703125,944.319580078125,2987.359130859375,944.319580078125,24.75187906576332,0.9374787179252089
34,6.800000000000001,-1.0,pedestrian,0.6447873711585999,2993.041259765625,801.0408325195312,3069.3017578125,919.8008422851562,3031.1715087890625,919.8008422851562,25.485669675767266,0.879688174358449
35,7.0,14.0,pedestrian,0.6471843719482422,2949.91455078125,825.2381591796875,3039.1884765625,930.8167724609375,2994.551513671875,930.8167724609375,24.985847634601214,0.8095553383139587
36,7.2,14.0,pedestrian,0.6061315536499023,2930.366455078125,827.0634765625,3020.92138671875,934.2495727539062,2975.6439208984375,934.2495727539062,24.75653797818306,0.7453053849638471
37,7.4,14.0,pedestrian,0.6225979924201965,2907.2265625,838.4873657226562,2992.42578125,940.2338256835938,2949.826171875,940.2338256835938,24.429084739544454,0.6741475349159326
49,9.8,-1.0,cyclist,0.3698734939098358,2383.32421875,1031.5970458984375,2502.549560546875,1172.9229736328125,2442.9368896484375,1172.9229736328125,17.272489042841556,0.7213290487572057
