frame,t_s,track_id,cls,conf,x1,y1,x2,y2,foot_u,foot_v,X,Y
0,0.0,1.0,cyclist,0.8190715312957764,1428.052734375,1456.28564453125,1612.80908203125,1603.93505859375,1520.430908203125,1603.93505859375,-35.47969068289064,-8.442835091847419
1,0.2,1.0,cyclist,0.7659817934036255,1430.130615234375,1458.8316650390625,1610.743896484375,1603.1025390625,1520.437255859375,1603.1025390625,-36.80724671041387,-8.805428812441908
2,0.4,1.0,cyclist,0.7760978937149048,1429.175537109375,1457.932373046875,1611.2828369140625,1603.3895263671875,1520.2291870117188,1603.3895263671875,-36.463618300109026,-8.707330668562653
3,0.6000000000000001,1.0,cyclist,0.6551104187965393,1430.0728759765625,1457.37109375,1611.6181640625,1602.3421630859375,1520.8455200195312,1602.3421630859375,-37.84357225736926,-9.097087072466156
4,0.8,1.0,cyclist,0.76570063829422,1430.061767578125,1457.5478515625,1611.3179931640625,1602.196044921875,1520.6898803710938,1602.196044921875,-38.206252016689156,-9.192844643820994
5,1.0,1.0,cyclist,0.6637174487113953,1430.1627197265625,1458.0322265625,1611.4666748046875,1602.6358642578125,1520.814697265625,1602.6358642578125,-37.35482676570916,-8.962880820796949
6,1.2000000000000002,1.0,cyclist,0.628640353679657,1430.3668212890625,1458.6910400390625,1610.5360107421875,1602.2418212890625,1520.451416015625,1602.2418212890625,-38.28495850535754,-9.209198876593572
7,1.4000000000000001,1.0,cyclist,0.7910602688789368,1430.38427734375,1458.465576171875,1611.380126953125,1602.6478271484375,1520.8822021484375,1602.6478271484375,-37.29116083693247,-8.94690190654578
8,1.6,1.0,cyclist,0.6501398086547852,1429.90478515625,1457.06494140625,1612.7490234375,1602.7296142578125,1521.326904296875,1602.7296142578125,-36.87245200014103,-8.841702227275137
9,1.8,1.0,cyclist,0.6927891969680786,1429.8228759765625,1457.0634765625,1612.1436767578125,1602.2763671875,1520.9832763671875,1602.2763671875,-37.86822831768369,-9.10676288612017
10,2.0,1.0,cyclist,0.803695797920227,1429.33203125,1456.9813232421875,1612.4488525390625,1602.7359619140625,1520.8904418945312,1602.7359619140625,-37.136393276950194,-8.904778182524216
