n_train_a,n_guard_a,n_train_d,n_guard_d,n_train_r,n_guard_r,pfa,tar_thresh,precision,recall,f1,tp,fp,fn
1,1,1,1,5,2,3e-05,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,2,3e-05,0.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,2,1e-05,-9999.0,0.030245144858325374,0.475,0.05686920083807243,95,3046,105
1,1,1,1,5,2,1e-05,-40.0,0.04485363550519358,0.475,0.08196721311475409,95,2023,105
1,1,1,1,5,2,1e-05,-35.0,0.12025316455696203,0.475,0.19191919191919193,95,695,105
1,1,1,1,5,2,1e-05,-30.0,0.13967310549777118,0.47,0.21534936998854526,94,579,106
1,1,1,1,5,2,1e-05,-25.0,0.15306122448979592,0.45,0.2284263959390863,90,498,110
1,1,1,1,5,2,1e-05,-20.0,0.14345114345114346,0.345,0.20264317180616742,69,412,131
1,1,1,1,5,2,1e-05,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,1,5,2,1e-05,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,1,5,2,1e-05,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,2,1e-05,0.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,3,0.01,-9999.0,0.008488564017920301,0.72,0.016779305523188067,144,16820,56
1,1,1,1,5,3,0.01,-40.0,0.0392263688368292,0.72,0.07439938000516663,144,3527,56
1,1,1,1,5,3,0.01,-35.0,0.09924190213645762,0.72,0.1744397334948516,144,1307,56
1,1,1,1,5,3,0.01,-30.0,0.149895178197065,0.715,0.24783362218370886,143,811,57
1,1,1,1,5,3,0.01,-25.0,0.17156105100463678,0.555,0.26210153482880755,111,536,89
1,1,1,1,5,3,0.01,-20.0,0.1532258064516129,0.38,0.21839080459770116,76,420,124
1,1,1,1,5,3,0.01,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,1,5,3,0.01,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,1,5,3,0.01,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,3,0.01,0.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,3,0.003,-9999.0,0.009951117318435754,0.57,0.01956074124914207,114,11342,86
1,1,1,1,5,3,0.003,-40.0,0.0347985347985348,0.57,0.06559263521288838,114,3162,86
1,1,1,1,5,3,0.003,-35.0,0.09344262295081968,0.57,0.16056338028169012,114,1106,86
1,1,1,1,5,3,0.003,-30.0,0.13436385255648037,0.565,0.21709894332372717,113,728,87
1,1,1,1,5,3,0.003,-25.0,0.1643192488262911,0.525,0.25029797377830754,105,534,95
1,1,1,1,5,3,0.003,-20.0,0.1532258064516129,0.38,0.21839080459770116,76,420,124
1,1,1,1,5,3,0.003,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,1,5,3,0.003,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,1,5,3,0.003,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,3,0.003,0.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,3,0.001,-9999.0,0.013700336280981442,0.55,0.02673471867784664,110,7919,90
1,1,1,1,5,3,0.001,-40.0,0.03754266211604096,0.55,0.07028753993610225,110,2820,90
1,1,1,1,5,3,0.001,-35.0,0.09954751131221719,0.55,0.1685823754789272,110,995,90
1,1,1,1,5,3,0.001,-30.0,0.13850063532401524,0.545,0.22087132725430597,109,678,91
1,1,1,1,5,3,0.001,-25.0,0.1624203821656051,0.51,0.2463768115942029,102,526,98
1,1,1,1,5,3,0.001,-20.0,0.1532258064516129,0.38,0.21839080459770116,76,420,124
1,1,1,1,5,3,0.001,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,1,5,3,0.001,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,1,5,3,0.001,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,3,0.001,0.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,3,0.0003,-9999.0,0.0184488626186638,0.515,0.03562164966280477,103,5480,97
1,1,1,1,5,3,0.0003,-40.0,0.03902993558165972,0.515,0.07256076083127863,103,2536,97
1,1,1,1,5,3,0.0003,-35.0,0.10467479674796748,0.515,0.1739864864864865,103,881,97
1,1,1,1,5,3,0.0003,-30.0,0.13636363636363635,0.51,0.2151898734177215,102,646,98
1,1,1,1,5,3,0.0003,-25.0,0.15798045602605862,0.485,0.23832923832923833,97,517,103
1,1,1,1,5,3,0.0003,-20.0,0.15384615384615385,0.38,0.21902017291066284,76,418,124
1,1,1,1,5,3,0.0003,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,1,5,3,0.0003,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,1,5,3,0.0003,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,3,0.0003,0.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,3,0.0001,-9999.0,0.023605646841009027,0.51,0.0451227604512276,102,4219,98
1,1,1,1,5,3,0.0001,-40.0,0.041463414634146344,0.51,0.07669172932330827,102,2358,98
1,1,1,1,5,3,0.0001,-35.0,0.1118421052631579,0.51,0.18345323741007197,102,810,98
1,1,1,1,5,3,0.0001,-30.0,0.13741496598639455,0.505,0.2160427807486631,101,634,99
1,1,1,1,5,3,0.0001,-25.0,0.1568627450980392,0.48,0.23645320197044334,96,516,104
1,1,1,1,5,3,0.0001,-20.0,0.15212981744421908,0.375,0.21645021645021648,75,418,125
1,1,1,1,5,3,0.0001,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,1,5,3,0.0001,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,1,5,3,0.0001,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,3,0.0001,0.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,3,3e-05,-9999.0,0.027101769911504425,0.49,0.05136268343815514,98,3518,102
1,1,1,1,5,3,3e-05,-40.0,0.043190832966064345,0.49,0.07938436614013772,98,2171,102
1,1,1,1,5,3,3e-05,-35.0,0.11502347417840375,0.49,0.18631178707224336,98,754,102
1,1,1,1,5,3,3e-05,-30.0,0.13739376770538245,0.485,0.2141280353200883,97,609,103
1,1,1,1,5,3,3e-05,-25.0,0.152317880794702,0.46,0.2288557213930348,92,512,108
1,1,1,1,5,3,3e-05,-20.0,0.14549180327868852,0.355,0.2063953488372093,71,417,129
1,1,1,1,5,3,3e-05,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,1,5,3,3e-05,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,1,5,3,3e-05,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,3,3e-05,0.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,3,1e-05,-9999.0,0.029758214507129573,0.48,0.05604203152364273,96,3130,104
1,1,1,1,5,3,1e-05,-40.0,0.0446927374301676,0.48,0.08177172061328791,96,2052,104
1,1,1,1,5,3,1e-05,-35.0,0.1175030599755202,0.48,0.18879056047197637,96,721,104
1,1,1,1,5,3,1e-05,-30.0,0.13768115942028986,0.475,0.21348314606741572,95,595,105
1,1,1,1,5,3,1e-05,-25.0,0.1507537688442211,0.45,0.22584692597239653,90,507,110
1,1,1,1,5,3,1e-05,-20.0,0.14285714285714285,0.345,0.20204978038067348,69,414,131
1,1,1,1,5,3,1e-05,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,1,5,3,1e-05,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,1,5,3,1e-05,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,3,1e-05,0.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,2,0.01,-9999.0,0.009530833380609293,0.84,0.018847815111908903,168,17459,32
1,1,1,2,5,2,0.01,-40.0,0.044633368756641874,0.84,0.08476286579212916,168,3596,32
1,1,1,2,5,2,0.01,-35.0,0.1057631412286257,0.835,0.1877459246767847,167,1412,33
1,1,1,2,5,2,0.01,-30.0,0.1534795042897998,0.805,0.2578062449959968,161,888,39
1,1,1,2,5,2,0.01,-25.0,0.1728395061728395,0.56,0.2641509433962264,112,536,88
1,1,1,2,5,2,0.01,-20.0,0.1532258064516129,0.38,0.21839080459770116,76,420,124
1,1,1,2,5,2,0.01,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,2,5,2,0.01,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,2,5,2,0.01,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,2,0.01,0.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,2,0.003,-9999.0,0.012449165905884305,0.75,0.02449179524859172,150,11899,50
1,1,1,2,5,2,0.003,-40.0,0.043227665706051875,0.75,0.08174386920980926,150,3320,50
1,1,1,2,5,2,0.003,-35.0,0.10541110330288124,0.75,0.18484288354898337,150,1273,50
1,1,1,2,5,2,0.003,-30.0,0.148109243697479,0.705,0.24479166666666669,141,811,59
1,1,1,2,5,2,0.003,-25.0,0.17156105100463678,0.555,0.26210153482880755,111,536,89
1,1,1,2,5,2,0.003,-20.0,0.1532258064516129,0.38,0.21839080459770116,76,420,124
1,1,1,2,5,2,0.003,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,2,5,2,0.003,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,2,5,2,0.003,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,2,0.003,0.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,2,0.001,-9999.0,0.015748031496062992,0.67,0.030772763807555403,134,8375,66
1,1,1,2,5,2,0.001,-40.0,0.04169259489732421,0.67,0.0785002929115407,134,3080,66
1,1,1,2,5,2,0.001,-35.0,0.1031562740569669,0.67,0.17878585723815876,134,1165,66
1,1,1,2,5,2,0.001,-30.0,0.14510686164229472,0.645,0.2369146005509642,129,760,71
1,1,1,2,5,2,0.001,-25.0,0.16326530612244897,0.52,0.24850657108721624,104,533,96
1,1,1,2,5,2,0.001,-20.0,0.1532258064516129,0.38,0.21839080459770116,76,420,124
1,1,1,2,5,2,0.001,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,2,5,2,0.001,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,2,5,2,0.001,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,2,0.001,0.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,2,0.0003,-9999.0,0.021231073074391045,0.645,0.04110898661567877,129,5947,71
1,1,1,2,5,2,0.0003,-40.0,0.04439091534755678,0.645,0.08306503541532517,129,2777,71
1,1,1,2,5,2,0.0003,-35.0,0.11178509532062392,0.645,0.19054652880354508,129,1025,71
1,1,1,2,5,2,0.0003,-30.0,0.1498800959232614,0.625,0.24177949709864605,125,709,75
1,1,1,2,5,2,0.0003,-25.0,0.1627172195892575,0.515,0.24729891956782712,103,530,97
1,1,1,2,5,2,0.0003,-20.0,0.1532258064516129,0.38,0.21839080459770116,76,420,124
1,1,1,2,5,2,0.0003,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,2,5,2,0.0003,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,2,5,2,0.0003,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,2,0.0003,0.0,1.0,0.0,0.0,0,0,200
1,1,1,2,5,2,0.0001,-9999.0,0.024549918166939442,0.6,0.04716981132075471,120,4768,80
1,1,1,2,5,2,0.0001,-40.0,0.04504504504504504,0.6,0.08379888268156424,120,2544,80
1,1,1,2,5,2,0.0001,-35.0,0.11417697431018078,0.6,0.19184652278177458,120,931,80
