n_train_a,n_guard_a,n_train_d,n_guard_d,n_train_r,n_guard_r,pfa,ap
2,1,5,1,5,2,0.001,0.13081781444517548
2,1,5,1,5,2,0.0003,0.11706378650525757
2,1,5,1,5,2,0.0001,0.11041208657661225
2,1,5,1,5,2,3e-05,0.09802929613820754
2,1,5,1,5,2,1e-05,0.08856207333033767
2,1,5,1,5,3,0.01,0.13988537770425724
2,1,5,1,5,3,0.003,0.13656028318613622
2,1,5,1,5,3,0.001,0.13309109020754215
2,1,5,1,5,3,0.0003,0.12419837678629009
2,1,5,1,5,3,0.0001,0.11066018568522829
2,1,5,1,5,3,3e-05,0.10040604037218422
2,1,5,1,5,3,1e-05,0.08599036549987261
2,1,5,2,5,2,0.01,0.13998882233049584
2,1,5,2,5,2,0.003,0.13715379161195418
2,1,5,2,5,2,0.001,0.13410501325003749
2,1,5,2,5,2,0.0003,0.12668935930248454
2,1,5,2,5,2,0.0001,0.11502623243910139
2,1,5,2,5,2,3e-05,0.1086135335847532
2,1,5,2,5,2,1e-05,0.09998496309851261
2,1,5,2,5,3,0.01,0.13983605317240996
2,1,5,2,5,3,0.003,0.13890982492863935
2,1,5,2,5,3,0.001,0.13428440950859744
2,1,5,2,5,3,0.0003,0.13133899251306957
2,1,5,2,5,3,0.0001,0.12155090196600152
2,1,5,2,5,3,3e-05,0.10994187414296278
2,1,5,2,5,3,1e-05,0.10107711581876729
3,1,1,1,5,2,0.01,0.09786267130060344
3,1,1,1,5,2,0.003,0.08061763753105934
3,1,1,1,5,2,0.001,0.0729167114753508
3,1,1,1,5,2,0.0003,0.0626232503732726
3,1,1,1,5,2,0.0001,0.055440344036094005
3,1,1,1,5,2,3e-05,0.05250965522729471
3,1,1,1,5,2,1e-05,0.04773906735374959
3,1,1,1,5,3,0.01,0.09867209937738639
3,1,1,1,5,3,0.003,0.06856401510891509
3,1,1,1,5,3,0.001,0.06443744570243297
3,1,1,1,5,3,0.0003,0.05771074686457654
3,1,1,1,5,3,0.0001,0.054156088106697156
3,1,1,1,5,3,3e-05,0.05121869082395411
3,1,1,1,5,3,1e-05,0.050430623902686766
3,1,1,2,5,2,0.01,0.11866349395781525
3,1,1,2,5,2,0.003,0.10358383221894261
3,1,1,2,5,2,0.001,0.08543907133739714
3,1,1,2,5,2,0.0003,0.07996995618620426
3,1,1,2,5,2,0.0001,0.07198543181288913
3,1,1,2,5,2,3e-05,0.06427724987384303
3,1,1,2,5,2,1e-05,0.06034665015522267
3,1,1,2,5,3,0.01,0.1263473180438741
3,1,1,2,5,3,0.003,0.10447846334369121
3,1,1,2,5,3,0.001,0.08102814352797469
3,1,1,2,5,3,0.0003,0.06594846454991038
3,1,1,2,5,3,0.0001,0.0635408462619004
3,1,1,2,5,3,3e-05,0.058551764157379504
3,1,1,2,5,3,1e-05,0.05508150416186639
3,1,2,1,5,2,0.01,0.12350420130928971
3,1,2,1,5,2,0.003,0.10466089773872919
3,1,2,1,5,2,0.001,0.08893724726919372
3,1,2,1,5,2,0.0003,0.08017046728038894
3,1,2,1,5,2,0.0001,0.07286486291675807
3,1,2,1,5,2,3e-05,0.06508712237062068
3,1,2,1,5,2,1e-05,0.06032071348076306
3,1,2,1,5,3,0.01,0.1289780392944651
3,1,2,1,5,3,0.003,0.10825532297261628
3,1,2,1,5,3,0.001,0.08667615717495404
3,1,2,1,5,3,0.0003,0.06693211918855192
3,1,2,1,5,3,0.0001,0.06448380777316291
3,1,2,1,5,3,3e-05,0.05930283149638615
3,1,2,1,5,3,1e-05,0.05505936429462457
3,1,2,2,5,2,0.01,0.13424204019008573
3,1,2,2,5,2,0.003,0.1187562598346903
3,1,2,2,5,2,0.001,0.10556757953043144
3,1,2,2,5,2,0.0003,0.09126544791714039
3,1,2,2,5,2,0.0001,0.08144908194355958
3,1,2,2,5,2,3e-05,0.07773490616509558
3,1,2,2,5,2,1e-05,0.0720374715646955
3,1,2,2,5,3,0.01,0.13449416287057753
3,1,2,2,5,3,0.003,0.1271711978695484
3,1,2,2,5,3,0.001,0.10994225822692973
3,1,2,2,5,3,0.0003,0.09136757679943401
3,1,2,2,5,3,0.0001,0.0721823045633734
3,1,2,2,5,3,3e-05,0.06519698994413123
3,1,2,2,5,3,1e-05,0.06353764104374818
3,1,3,1,5,2,0.01,0.1342767642823421
3,1,3,1,5,2,0.003,0.1218885181178531
3,1,3,1,5,2,0.001,0.10761322253747416
3,1,3,1,5,2,0.0003,0.09500332383524306
3,1,3,1,5,2,0.0001,0.08255310925250257
3,1,3,1,5,2,3e-05,0.07935616088358123
3,1,3,1,5,2,1e-05,0.0720052884251792
3,1,3,1,5,3,0.01,0.1353315059565724
3,1,3,1,5,3,0.003,0.12811593594268342
3,1,3,1,5,3,0.001,0.11180076565972727
3,1,3,1,5,3,0.0003,0.09540648064806458
3,1,3,1,5,3,0.0001,0.07502209677961322
3,1,3,1,5,3,3e-05,0.06609177773075776
3,1,3,1,5,3,1e-05,0.06355147535732228
3,1,3,2,5,2,0.01,0.13716767929464704
3,1,3,2,5,2,0.003,0.1324511607740673
3,1,3,2,5,2,0.001,0.11988427453865753
3,1,3,2,5,2,0.0003,0.10752244119766959
3,1,3,2,5,2,0.0001,0.09576392574063627
3,1,3,2,5,2,3e-05,0.08599433786818213
3,1,3,2,5,2,1e-05,0.08185528694232788
3,1,3,2,5,3,0.01,0.13890680061191787
3,1,3,2,5,3,0.003,0.13374867492476633
3,1,3,2,5,3,0.001,0.1272141954793217
3,1,3,2,5,3,0.0003,0.11170659606820646
3,1,3,2,5,3,0.0001,0.09817544680984681
3,1,3,2,5,3,3e-05,0.07930507175715527
3,1,3,2,5,3,1e-05,0.06962147984122607
3,1,5,1,5,2,0.01,0.13959485498342705
3,1,5,1,5,2,0.003,0.13605325885021477
3,1,5,1,5,2,0.001,0.13271211785266704
3,1,5,1,5,2,0.0003,0.12009820474559463
3,1,5,1,5,2,0.0001,0.11078182124704285
3,1,5,1,5,2,3e-05,0.10082011875061499
3,1,5,1,5,2,1e-05,0.09123902641147393
3,1,5,1,5,3,0.01,0.1398865757074396
3,1,5,1,5,3,0.003,0.13658540155532664
3,1,5,1,5,3,0.001,0.13380895338073234
3,1,5,1,5,3,0.0003,0.12756033159471653
3,1,5,1,5,3,0.0001,0.115672944364203
3,1,5,1,5,3,3e-05,0.10366660746198972
3,1,5,1,5,3,1e-05,0.0898939230908845
3,1,5,2,5,2,0.01,0.1399899489103309
3,1,5,2,5,2,0.003,0.13888224448499203
3,1,5,2,5,2,0.001,0.13423439549454985
3,1,5,2,5,2,0.0003,0.13076009193694674
3,1,5,2,5,2,0.0001,0.1189672467598436
3,1,5,2,5,2,3e-05,0.1094558341108277
3,1,5,2,5,2,1e-05,0.10132002720281562
3,1,5,2,5,3,0.01,0.13995502192312895
3,1,5,2,5,3,0.003,0.1388826258802084
3,1,5,2,5,3,0.001,0.136587675629235
3,1,5,2,5,3,0.0003,0.13380294688665198
3,1,5,2,5,3,0.0001,0.12561278745216048
3,1,5,2,5,3,3e-05,0.11359205913309141
3,1,5,2,5,3,1e-05,0.10543971225207224
