tar_thresh,precision,recall,f1,tp,fp,fn
-6.28576135635376,1.0,0.0,0.0,0,0,200
-7.28576135635376,0.0,0.0,0.0,0,1,200
-7.420042991638184,0.0,0.0,0.0,0,2,200
-7.479341506958008,0.0,0.0,0.0,0,3,200
-7.565438270568848,0.0,0.0,0.0,0,4,200
-7.5844550132751465,0.0,0.0,0.0,0,5,200
-7.59487247467041,0.0,0.0,0.0,0,6,200
-7.601398944854736,0.0,0.0,0.0,0,7,200
-7.6070237159729,0.0,0.0,0.0,0,8,200
-7.624879360198975,0.0,0.0,0.0,0,9,200
-7.679408073425293,0.0,0.0,0.0,0,10,200
-7.762604713439941,0.0,0.0,0.0,0,11,200
-8.08226203918457,0.0,0.0,0.0,0,12,200
-8.10389518737793,0.0,0.0,0.0,0,13,200
-8.139171600341797,0.0,0.0,0.0,0,14,200
-8.165706634521484,0.0,0.0,0.0,0,15,200
-8.17219066619873,0.0,0.0,0.0,0,16,200
-8.271729469299316,0.0,0.0,0.0,0,17,200
-8.463788032531738,0.0,0.0,0.0,0,18,200
-8.594011306762695,0.0,0.0,0.0,0,19,200
-8.733431816101074,0.0,0.0,0.0,0,20,200
-8.763773918151855,0.0,0.0,0.0,0,21,200
-8.772953987121582,0.0,0.0,0.0,0,22,200
-8.799482345581055,0.0,0.0,0.0,0,23,200
-8.807474136352539,0.0,0.0,0.0,0,24,200
-8.81867504119873,0.0,0.0,0.0,0,25,200
-8.838746070861816,0.0,0.0,0.0,0,26,200
-8.866188049316406,0.0,0.0,0.0,0,27,200
-8.892263412475586,0.0,0.0,0.0,0,28,200
-8.91899585723877,0.0,0.0,0.0,0,29,200
-8.99185562133789,0.0,0.0,0.0,0,30,200
-8.99693775177002,0.0,0.0,0.0,0,31,200
-8.999246597290039,0.0,0.0,0.0,0,32,200
-9.023839950561523,0.0,0.0,0.0,0,33,200
-9.028172492980957,0.0,0.0,0.0,0,34,200
-9.033292770385742,0.0,0.0,0.0,0,35,200
-9.111076354980469,0.0,0.0,0.0,0,36,200
-9.119155883789062,0.0,0.0,0.0,0,37,200
-9.151761054992676,0.0,0.0,0.0,0,38,200
-9.199013710021973,0.0,0.0,0.0,0,39,200
-9.217073440551758,0.0,0.0,0.0,0,40,200
-9.347835540771484,0.0,0.0,0.0,0,41,200
-9.351494789123535,0.0,0.0,0.0,0,42,200
-9.35986328125,0.0,0.0,0.0,0,43,200
-9.399930953979492,0.0,0.0,0.0,0,44,200
-9.531826972961426,0.0,0.0,0.0,0,45,200
-9.61185073852539,0.0,0.0,0.0,0,46,200
-9.656001091003418,0.0,0.0,0.0,0,47,200
-9.672082901000977,0.0,0.0,0.0,0,48,200
-9.70827579498291,0.0,0.0,0.0,0,49,200
-9.776928901672363,0.0,0.0,0.0,0,50,200
-9.794452667236328,0.0,0.0,0.0,0,51,200
-9.833165168762207,0.0,0.0,0.0,0,52,200
-9.892274856567383,0.0,0.0,0.0,0,53,200
-9.941399574279785,0.0,0.0,0.0,0,54,200
-9.962002754211426,0.0,0.0,0.0,0,55,200
-9.981313705444336,0.0,0.0,0.0,0,56,200
-10.020902633666992,0.0,0.0,0.0,0,57,200
-10.030685424804688,0.017241379310344827,0.005,0.007751937984496125,1,57,199
-10.061233520507812,0.01694915254237288,0.005,0.007722007722007722,1,58,199
-10.07143497467041,0.016666666666666666,0.005,0.007692307692307692,1,59,199
-10.084000587463379,0.01639344262295082,0.005,0.007662835249042145,1,60,199
-10.096546173095703,0.016129032258064516,0.005,0.007633587786259542,1,61,199
-10.12292766571045,0.015873015873015872,0.005,0.0076045627376425855,1,62,199
-10.145118713378906,0.015625,0.005,0.007575757575757576,1,63,199
-10.164764404296875,0.015384615384615385,0.005,0.007547169811320754,1,64,199
-10.173860549926758,0.015151515151515152,0.005,0.007518796992481203,1,65,199
-10.224691390991211,0.014925373134328358,0.005,0.00749063670411985,1,66,199
-10.28260612487793,0.014705882352941176,0.005,0.00746268656716418,1,67,199
-10.295812606811523,0.014492753623188406,0.005,0.007434944237918215,1,68,199
-10.30337905883789,0.014285714285714285,0.005,0.0074074074074074086,1,69,199
-10.310300827026367,0.014084507042253521,0.005,0.007380073800738008,1,70,199
-10.323478698730469,0.013888888888888888,0.005,0.007352941176470588,1,71,199
-10.328207015991211,0.0136986301369863,0.005,0.007326007326007325,1,72,199
-10.337209701538086,0.013513513513513514,0.005,0.0072992700729927005,1,73,199
-10.343700408935547,0.013333333333333334,0.005,0.007272727272727273,1,74,199
-10.371489524841309,0.013157894736842105,0.005,0.007246376811594203,1,75,199
-10.379592895507812,0.012987012987012988,0.005,0.007220216606498194,1,76,199
-10.399456024169922,0.01282051282051282,0.005,0.007194244604316546,1,77,199
-10.403298377990723,0.012658227848101266,0.005,0.007168458781362008,1,78,199
-10.413230895996094,0.0125,0.005,0.007142857142857143,1,79,199
-10.413637161254883,0.012345679012345678,0.005,0.0071174377224199285,1,80,199
-10.419602394104004,0.012195121951219513,0.005,0.0070921985815602835,1,81,199
-10.443277359008789,0.012048192771084338,0.005,0.007067137809187279,1,82,199
-10.51262378692627,0.011904761904761904,0.005,0.007042253521126761,1,83,199
-10.538373947143555,0.011764705882352941,0.005,0.007017543859649123,1,84,199
-10.546592712402344,0.011627906976744186,0.005,0.006993006993006993,1,85,199
-10.55879020690918,0.011494252873563218,0.005,0.0069686411149825775,1,86,199
-10.559146881103516,0.011363636363636364,0.005,0.006944444444444444,1,87,199
-10.571703910827637,0.011235955056179775,0.005,0.006920415224913495,1,88,199
-10.573074340820312,0.011111111111111112,0.005,0.006896551724137932,1,89,199
-10.5772123336792,0.01098901098901099,0.005,0.006872852233676977,1,90,199
-10.601613998413086,0.010869565217391304,0.005,0.00684931506849315,1,91,199
-10.634528160095215,0.010752688172043012,0.005,0.006825938566552901,1,92,199
