Time,target_id,X,Y,Range,Angle,Velocity
0,0,-30.0,15.0,286.1642884777903,0.055420692306520296,5.870753506443861
0,1,-35.0,7.5,290.30372026551777,0.027340799620700358,9.8173044334166
1,0,-29.7,15.0,285.87075751115225,0.05554536959319877,5.87048502131083
1,1,-34.5,7.5,289.8128706596724,0.02749679583882072,9.816679271435419
2,0,-29.4,15.0,285.57723998946415,0.055670310939527436,5.87021570788291
2,1,-34.0,7.5,289.3220523914484,0.027653336954140607,9.816050925000086
3,0,-29.1,15.0,285.28373595422505,0.05579551718137816,5.869945562787696
3,1,-33.5,7.5,288.83126562060414,0.027810425818944044,9.815419372651746
4,0,-28.8,15.0,284.990245447103,0.055920989158137806,5.869674582635806
4,1,-33.0,7.5,288.34051050797564,0.027968065305402655,9.81478459275226
5,0,-28.5,15.0,284.69676850993585,0.05604672771272646,5.869402764020775
5,1,-32.5,7.5,287.84978721548504,0.02812625830574874,9.814146563482426
6,0,-28.2,15.0,284.40330518473235,0.05617273369161605,5.86913010351895
6,1,-32.0,7.5,287.3590959061502,0.028285007732450317,9.813505262840177
7,0,-27.9,15.0,284.1098555136727,0.05629900794484901,5.8688565976893985
7,1,-31.5,7.5,286.8684367440936,0.02844431651838788,9.812860668638754
8,0,-27.6,15.0,283.81641953910986,0.05642555132605693,5.868582243073786
8,1,-31.0,7.5,286.3778098945517,0.02860418761703306,9.812212758504861
9,0,-27.3,15.0,283.52299730356975,0.05655236469247955,5.86830703619629
9,1,-30.5,7.5,285.88721552388455,0.028764624002629087,9.811561509876805
10,0,-27.0,15.0,283.22958884975276,0.05667944890498366,5.868030973563484
10,1,-30.0,7.5,285.39665379958467,0.028925628670373273,9.810906900002605
11,0,-26.7,15.0,282.93619422053445,0.05680680482808224,5.867754051664234
11,1,-29.5,7.5,284.90612489028734,0.029087204636601326,9.810248905938082
12,0,-26.4,15.0,282.64281345896626,0.05693443332995369,5.867476266969598
12,1,-29.0,7.5,284.4156289657796,0.029249354938973564,9.809587504544934
13,0,-26.1,15.0,282.34944660827654,0.05706233528246118,5.86719761593271
13,1,-28.5,7.5,283.9251661970104,0.02941208263666325,9.808922672488778
14,0,-25.8,15.0,282.0560937118714,0.05719051156117213,5.866918094988676
14,1,-28.0,7.5,283.4347367561005,0.02957539081054681,9.808254386237168
15,0,-25.5,15.0,281.76275481333585,0.057318963045377806,5.866637700554465
15,1,-27.5,7.5,282.94434081635205,0.029739282563396037,9.807582622057609
16,0,-25.2,15.0,281.46942995643417,0.057447690618112994,5.866356429028802
16,1,-27.0,7.5,282.453978552259,0.029903761020072396,9.806907356015525
17,0,-24.9,15.0,281.1761191851114,0.05757669516617594,5.866074276792058
17,1,-26.5,7.5,281.9636501395171,0.030068829327723444,9.806228563972212
18,0,-24.6,15.0,280.8828225434941,0.05770597758014818,5.8657912402061285
18,1,-26.0,7.5,281.4733557550341,0.030234490655981223,9.805546221582778
19,0,-24.3,15.0,280.5895400758909,0.05783553875441486,5.8655073156143365
19,1,-25.5,7.5,280.98309557694034,0.030400748197162868,9.804860304294039
20,0,-24.0,15.0,280.296271826794,0.05796537958718468,5.865222499341311
20,1,-25.0,7.5,280.492869784599,0.030567605166473298,9.804170787342395
21,0,-23.7,15.0,280.0030178408797,0.05809550098051044,5.8649367876928755
21,1,-24.5,7.5,280.00267855861665,0.030735064802210076,9.80347764575171
22,0,-23.4,15.0,279.7097781630095,0.058225903840309505,5.864650176955938
22,1,-24.0,7.5,279.5125220808542,0.03090313036597058,9.802780854331113
23,0,-23.1,15.0,279.41655283823115,0.05835658907638432,5.864362663398368
23,1,-23.5,7.5,279.0224005344374,0.03107180514286125,9.802080387672824
24,0,-22.8,15.0,279.1233419117792,0.058487557602443306,5.864074243268889
24,1,-23.0,7.5,278.5323141037679,0.031241092441709133,9.801376220149924
25,0,-22.5,15.0,278.8301454290766,0.058618810336121575,5.863784912796954
25,1,-22.5,7.5,278.04226297453414,0.031410995595275805,9.800668325914117
26,0,-22.2,15.0,278.53696343573506,0.05875034819900204,5.8634946681926365
26,1,-22.0,7.5,277.55224733372273,0.03158151796047345,9.79995667889344
27,0,-21.9,15.0,278.2437959775563,0.05888217211663651,5.863203505646508
27,1,-21.5,7.5,277.0622673696294,0.0317526629185834,9.799241252789981
28,0,-21.6,15.0,277.9506431005332,0.05901428301856702,5.862911421329516
28,1,-21.0,7.5,276.5723232718704,0.031924433875477005,9.798522021077545
29,0,-21.3,15.0,277.6575048508504,0.059146681838347266,5.8626184113928685
29,1,-20.5,7.5,276.0824152313943,0.03209683426183888,9.79779895699929
30,0,-21.0,15.0,277.3643812748854,0.059279369513564016,5.8623244719679155
30,1,-20.0,7.5,275.592543440493,0.03226986753339258,9.797072033565358
