time,measurement_id,x,y,is_validated_for_T0
1,0,286.11442710375,2.7777777777777786,0
1,1,286.495913006555,2.7777777777777786,0
1,2,286.11442710375,3.888888888888889,0
1,3,289.9292861318,1.666666666666667,0
1,4,290.3107720346049,1.666666666666667,0
1,5,290.69225793741,1.666666666666667,0
2,0,285.73294120094494,2.7777777777777786,1
2,1,286.11442710375,2.7777777777777786,1
2,2,287.64037071496995,2.7777777777777786,1
2,3,285.73294120094494,3.888888888888889,1
2,4,288.021856617775,1.666666666666667,0
2,5,289.54780022899496,1.666666666666667,0
2,6,289.9292861318,1.666666666666667,0
2,7,290.3107720346049,1.666666666666667,0
3,0,285.35145529814,2.7777777777777786,1
3,1,285.73294120094494,2.7777777777777786,1
3,2,287.258884812165,2.7777777777777786,1
3,3,285.73294120094494,3.888888888888889,1
3,4,287.258884812165,1.666666666666667,0
3,5,287.64037071496995,1.666666666666667,0
3,6,289.16631432618993,1.666666666666667,0
3,7,289.54780022899496,1.666666666666667,0
4,0,285.35145529814,2.7777777777777786,1
4,1,285.35145529814,3.888888888888889,1
4,2,286.87739890935995,1.666666666666667,0
4,3,287.258884812165,1.666666666666667,0
4,4,288.40334252057994,1.666666666666667,0
4,5,288.78482842338497,1.666666666666667,0
5,0,284.96996939533494,2.7777777777777786,1
5,1,284.96996939533494,3.888888888888889,1
5,2,286.495913006555,1.666666666666667,0
5,3,286.87739890935995,1.666666666666667,0
5,4,288.021856617775,1.666666666666667,0
5,5,288.40334252057994,1.666666666666667,0
6,0,284.58848349253,2.7777777777777786,1
6,1,284.96996939533494,2.7777777777777786,1
6,2,287.258884812165,1.666666666666667,0
6,3,287.64037071496995,1.666666666666667,0
6,4,288.021856617775,1.666666666666667,0
7,0,284.2069975897249,2.7777777777777786,1
7,1,284.58848349253,2.7777777777777786,1
7,2,286.495913006555,1.666666666666667,0
7,3,286.87739890935995,1.666666666666667,0
7,4,287.258884812165,1.666666666666667,0
8,0,284.2069975897249,2.7777777777777786,1
8,1,286.495913006555,1.666666666666667,0
8,2,286.87739890935995,1.666666666666667,0
8,3,287.258884812165,1.666666666666667,0
9,0,283.82551168692,2.7777777777777786,1
9,1,284.2069975897249,2.7777777777777786,1
9,2,283.82551168692,3.888888888888889,0
9,3,286.11442710375,1.666666666666667,0
