time,target_id,x,y,range,angle,velocity
0,0,-35.0,7.5,290.30372026551777,0.0273407996207003,9.8173044334166
1,0,-34.5,7.5,289.8128706596724,0.0274967958388207,9.81667927143542
2,0,-34.0,7.5,289.3220523914484,0.0276533369541406,9.816050925000086
3,0,-33.5,7.5,288.83126562060414,0.027810425818944,9.815419372651746
4,0,-33.0,7.5,288.34051050797564,0.0279680653054026,9.81478459275226
5,0,-32.5,7.5,287.84978721548504,0.0281262583057487,9.814146563482426
6,0,-32.0,7.5,287.3590959061502,0.0282850077324503,9.813505262840176
7,0,-31.5,7.5,286.8684367440936,0.0284443165183878,9.812860668638754
8,0,-31.0,7.5,286.3778098945517,0.028604187617033,9.81221275850486
9,0,-30.5,7.5,285.8872155238845,0.028764624002629,9.811561509876803
10,0,-30.0,7.5,285.39665379958467,0.0289256286703732,9.810906900002603
11,0,-29.5,7.5,284.90612489028734,0.0290872046366013,9.810248905938082
12,0,-29.0,7.5,284.4156289657796,0.0292493549389735,9.809587504544934
13,0,-28.5,7.5,283.9251661970104,0.0294120826366632,9.808922672488778
14,0,-28.0,7.5,283.4347367561005,0.0295753908105468,9.808254386237168
15,0,-27.5,7.5,282.94434081635205,0.029739282563396,9.807582622057607
16,0,-27.0,7.5,282.453978552259,0.0299037610200723,9.806907356015524
17,0,-26.5,7.5,281.9636501395171,0.0300688293277234,9.806228563972212
18,0,-26.0,7.5,281.4733557550341,0.0302344906559812,9.805546221582778
19,0,-25.5,7.5,280.98309557694034,0.0304007481971628,9.80486030429404
20,0,-25.0,7.5,280.492869784599,0.0305676051664732,9.804170787342397
21,0,-24.5,7.5,280.00267855861665,0.03073506480221,9.80347764575171
22,0,-24.0,7.5,279.5125220808542,0.0309031303659705,9.802780854331113
23,0,-23.5,7.5,279.0224005344374,0.0310718051428612,9.802080387672824
24,0,-23.0,7.5,278.5323141037679,0.0312410924417091,9.801376220149924
25,0,-22.5,7.5,278.04226297453414,0.0314109955952758,9.800668325914115
26,0,-22.0,7.5,277.55224733372273,0.0315815179604734,9.79995667889344
27,0,-21.5,7.5,277.0622673696294,0.0317526629185834,9.79924125278998
28,0,-21.0,7.5,276.5723232718704,0.031924433875477,9.798522021077543
29,0,-20.5,7.5,276.0824152313943,0.0320968342618388,9.79779895699929
30,0,-20.0,7.5,275.592543440493,0.0322698675333925,9.797072033565358
0,1,-30.0,15.0,286.1642884777903,0.0554206923065202,5.870753506443861
1,1,-29.7,15.0,285.87075751115225,0.0555453695931987,5.87048502131083
2,1,-29.4,15.0,285.57723998946415,0.0556703109395274,5.87021570788291
3,1,-29.1,15.0,285.28373595422505,0.0557955171813781,5.869945562787696
4,1,-28.8,15.0,284.990245447103,0.0559209891581378,5.869674582635806
5,1,-28.5,15.0,284.69676850993585,0.0560467277127264,5.869402764020775
6,1,-28.2,15.0,284.40330518473235,0.056172733691616,5.86913010351895
7,1,-27.9,15.0,284.1098555136727,0.056299007944849,5.868856597689399
8,1,-27.6,15.0,283.81641953910986,0.0564255513260569,5.868582243073786
9,1,-27.3,15.0,283.5229973035697,0.0565523646924795,5.86830703619629
10,1,-27.0,15.0,283.2295888497528,0.0566794489049836,5.868030973563484
11,1,-26.7,15.0,282.93619422053445,0.0568068048280822,5.867754051664234
12,1,-26.4,15.0,282.64281345896626,0.0569344333299536,5.867476266969598
13,1,-26.1,15.0,282.34944660827654,0.0570623352824611,5.86719761593271
14,1,-25.8,15.0,282.0560937118714,0.0571905115611721,5.866918094988676
15,1,-25.5,15.0,281.76275481333585,0.0573189630453778,5.866637700554465
16,1,-25.2,15.0,281.46942995643417,0.0574476906181129,5.866356429028802
17,1,-24.9,15.0,281.1761191851114,0.0575766951661759,5.866074276792058
18,1,-24.6,15.0,280.8828225434941,0.0577059775801481,5.8657912402061285
19,1,-24.3,15.0,280.5895400758909,0.0578355387544148,5.8655073156143365
20,1,-24.0,15.0,280.296271826794,0.0579653795871846,5.865222499341311
21,1,-23.7,15.0,280.0030178408797,0.0580955009805104,5.864936787692876
22,1,-23.4,15.0,279.7097781630095,0.0582259038403095,5.864650176955938
23,1,-23.1,15.0,279.41655283823115,0.0583565890763843,5.864362663398368
24,1,-22.8,15.0,279.1233419117792,0.0584875576024433,5.864074243268889
25,1,-22.5,15.0,278.8301454290766,0.0586188103361215,5.863784912796954
26,1,-22.2,15.0,278.53696343573506,0.058750348199002,5.8634946681926365
27,1,-21.9,15.0,278.2437959775563,0.0588821721166365,5.863203505646508
28,1,-21.6,15.0,277.9506431005332,0.059014283018567,5.862911421329516
29,1,-21.3,15.0,277.6575048508504,0.0591466818383472,5.8626184113928685
30,1,-21.0,15.0,277.3643812748854,0.059279369513564,5.862324471967916

