dataset,distance_threshold,position_rmse,velocity_rmse,total_matches,total_missed_detections,total_false_alarms,timesteps_with_matches,total_timesteps
Estimated,3.0,1.666200215545006,2.161612227473983,56,6,0,31,31
Measurements,3.0,1.69410063891661,3.0024236854609674,47,15,0,31,31
