gamma,alpha_pos,best_val_loss,AP_cy,AP_ve,mAP
3.0,400.0,0.0001,0.7938,0.5833,0.6885
3.0,500.0,0.0001,0.6955,0.6632,0.6794
3.0,600.0,0.0002,0.7159,0.5816,0.6487
4.0,400.0,0.0002,0.7476,0.5243,0.6359
4.0,500.0,0.0001,0.8472,0.7665,0.8069
4.0,600.0,0.0001,0.6431,0.6242,0.6337
5.0,400.0,0.0001,0.7832,0.7671,0.7751
5.0,500.0,0.0002,0.6531,0.5393,0.5962
5.0,600.0,0.0001,0.7513,0.6924,0.7219
