Time,Range,Angle,X,Y,Velocity,Power
0,288.40334252058005,1.57,-33.07790286927559,7.345391773969226,10.789412505668365,-8.211467750162502
0,286.49591300655504,1.57,-31.14985351653712,7.172763795206539,10.789412505668365,-21.254941710434487
1,288.02185661777503,1.58,-32.68790168243544,7.360207647649293,10.789412505668365,-9.603398048712176
1,286.11442710375,1.58,-30.75980575132047,7.187236279272188,10.789412505668365,-19.63469119646672
2,287.25888481216504,1.59,-31.912291004569965,7.340226598895303,10.789412505668365,-7.683452516953966
2,285.73294120094505,1.59,-30.369745973003603,7.201571982242708,10.789412505668365,-17.533852818401517
3,286.87739890936,1.58,-31.531090291578835,7.256428968382554,10.789412505668365,-7.471371636469533
3,285.35145529814,1.58,-29.98845906048496,7.118038014572871,10.789412505668365,-16.175998926810603
4,286.49591300655504,1.6,-31.136634549424343,7.319970056913061,10.789412505668365,-8.933754133056706
4,284.969969395335,1.6,-29.5939894424763,7.181035022782879,10.789412505668365,-20.49658228124817
5,285.73294120094505,1.61,-30.36093188392533,7.299437948691864,10.789412505668365,-8.769650366646166
5,284.969969395335,1.61,-29.58959026433655,7.229832995851616,10.789412505668365,-18.45420748483399
6,285.35145529814,1.63,-29.96643282832161,7.362364443231019,10.789412505668365,-7.885872604794257
6,284.58848349253003,1.63,-29.195084157336737,7.292487401513249,10.789412505668365,-16.93489867277028
7,284.969969395335,1.63,-29.58076635783351,7.327426634868647,10.789412505668365,-7.523081597957512
7,284.206997589725,1.63,-28.8093861615522,7.25754673725115,10.789412505668365,-16.621825055711657
8,284.58848349253003,1.65,-29.18623840435544,7.389943328106227,10.789412505668365,-9.332238585209833
8,284.58848349253003,3.23,-28.38002249757136,15.078210514320936,10.789412505668365,-10.752353850691854
9,283.82551168692004,1.62,-28.42807023914781,7.174010154248045,10.789412505668365,-9.321215904776638
9,283.82551168692004,3.16,-27.65095645209101,14.64762572655264,10.789412505668365,-10.756570396431115
10,283.444025784115,1.69,-28.0114136176378,7.478807880839998,10.789412505668365,-6.730935105405108
10,283.444025784115,3.03,-27.339555931066,13.973214862837471,10.789412505668365,-7.270105759513919
11,283.06253988131004,1.76,-27.59441240941851,7.782623666490974,10.789412505668365,-7.515030576815617
11,283.06253988131004,3.04,-26.94920223061814,13.977192933126853,10.789412505668365,-7.849656559701613
12,282.29956807570005,1.69,-26.85423846140327,7.3727566827739714,10.789412505668365,-9.707450854074228
13,281.918082172895,1.71,-26.459619847398017,7.43390748342382,10.789412505668365,-8.502997633388333
13,281.918082172895,3.1,-25.761300480679665,14.132696949485585,10.789412505668365,-9.620025068217895
14,281.53659627009,1.72,-26.069421537503278,7.446601566731044,10.789412505668365,-8.655167104650936
15,281.15511036728503,1.75,-25.67030718343796,7.55538735822951,10.789412505668365,-10.152498018423866
15,281.918082172895,1.75,-26.44179626022094,7.626906494262947,10.789412505668365,-22.803150109344767
16,280.39213856167504,1.73,-24.907631318865924,7.387902824772091,10.789412505668365,-9.67688715877271
17,280.01065265887,1.75,-24.512950422019458,7.448097238187543,10.789412505668365,-9.929114025861004
17,281.15511036728503,1.75,-25.67030718343796,7.55538735822951,10.789412505668365,-22.88001574274496
18,279.62916675606505,1.78,-24.11378827715862,7.555859935370861,10.789412505668365,-9.504885070159244
18,281.53659627009,1.78,-26.0426225515418,7.735686783427258,10.789412505668365,-23.34330030292156
19,278.866194950455,1.78,-23.34213833795752,7.483918359978741,10.789412505668365,-12.712411264057604
20,278.48470904765003,1.73,-22.9783917651564,7.209736267225818,10.789412505668365,-10.95599845078701
20,280.39213856167504,1.73,-24.907631318865924,7.387902824772091,10.789412505668365,-21.596748809468327
21,278.103223144845,1.79,-22.56598175882476,7.45954263924347,10.789412505668365,-11.14039074738952
21,280.01065265887,1.79,-24.49511740291706,7.639737214042277,10.789412505668365,-19.02914479257425
22,277.72173724204004,1.75,-22.197786660822487,7.23347525978291,10.789412505668365,-11.480814334517186
22,279.62916675606505,1.75,-24.127131718593887,7.412330794870421,10.789412505668365,-20.56260626972357
23,276.95876543643004,1.75,-21.425929917028327,7.161922040017398,10.789412505668365,-11.70918121643969
23,279.62916675606505,1.75,-24.127131718593887,7.412330794870421,10.789412505668365,-23.6129734744034
24,276.577279533625,1.79,-21.022368408857915,7.315358505741585,10.789412505668365,-11.318666379289802
24,279.24768085326,1.79,-23.72351344973612,7.567664082905903,10.789412505668365,-16.769689191235834
25,276.19579363082005,1.83,-20.61870789190715,7.468242151220419,10.789412505668365,-10.154997354990623
25,278.866194950455,1.83,-23.31979534573111,7.72244464106857,10.789412505668365,-17.827397400891087
26,275.43282182521,1.84,-19.842377336037718,7.442695066232918,10.789412505668365,-12.854866158373117
26,278.866194950455,1.84,-23.31530176934888,7.770147552447749,10.789412505668365,-21.62490673848317
27,275.05133592240503,1.8,-19.474081751809308,7.218181074750095,10.789412505668365,-10.729235494129483
27,278.48470904765003,1.8,-22.947388542509486,7.543223390532837,10.789412505668365,-20.5343363919147
28,274.66985001960006,1.81,-19.08367283156906,7.229021488411117,10.789412505668365,-10.587075429624983
28,278.103223144845,1.81,-22.55707809643405,7.554684562439736,10.789412505668365,-17.44571725493076
29,274.28836411679504,1.86,-18.67556459532426,7.427301847645573,10.789412505668365,-13.12939278818678
29,277.72173724204004,1.86,-22.14884025305236,7.756010670430232,0.0,-17.565217435619093
30,273.52539231118504,1.85,-17.907953884074914,7.30747882812652,10.789412505668365,-10.469690176279208
30,277.340251339235,1.85,-21.767474588575908,7.672062025824854,10.789412505668365,-19.08867463337896
