Time,target_id,X,Y,Range,Angle,Velocity
0,0,-30.0,15.0,286.1642884777903,0.055420692306520296,5.870753506443861
1,0,-29.7,15.0,285.87075751115225,0.05554536959319877,5.87048502131083
2,0,-29.4,15.0,285.57723998946415,0.055670310939527436,5.87021570788291
3,0,-29.1,15.0,285.28373595422505,0.05579551718137816,5.869945562787696
4,0,-28.8,15.0,284.990245447103,0.055920989158137806,5.869674582635806
5,0,-28.5,15.0,284.69676850993585,0.05604672771272646,5.869402764020775
6,0,-28.2,15.0,284.40330518473235,0.05617273369161605,5.86913010351895
7,0,-27.9,15.0,284.1098555136727,0.05629900794484901,5.8688565976893985
8,0,-27.6,15.0,283.81641953910986,0.05642555132605693,5.868582243073786
9,0,-27.3,15.0,283.52299730356975,0.05655236469247955,5.86830703619629
10,0,-27.0,15.0,283.22958884975276,0.05667944890498366,5.868030973563484
11,0,-26.7,15.0,282.93619422053445,0.05680680482808224,5.867754051664234
12,0,-26.4,15.0,282.64281345896626,0.05693443332995369,5.867476266969598
13,0,-26.1,15.0,282.34944660827654,0.05706233528246118,5.86719761593271
14,0,-25.8,15.0,282.0560937118714,0.05719051156117213,5.866918094988676
15,0,-25.5,15.0,281.76275481333585,0.057318963045377806,5.866637700554465
16,0,-25.2,15.0,281.46942995643417,0.057447690618112994,5.866356429028802
17,0,-24.9,15.0,281.1761191851114,0.05757669516617594,5.866074276792058
18,0,-24.6,15.0,280.8828225434941,0.05770597758014818,5.8657912402061285
19,0,-24.3,15.0,280.5895400758909,0.05783553875441486,5.8655073156143365
20,0,-24.0,15.0,280.296271826794,0.05796537958718468,5.865222499341311
21,0,-23.7,15.0,280.0030178408797,0.05809550098051044,5.8649367876928755
22,0,-23.4,15.0,279.7097781630095,0.058225903840309505,5.864650176955938
23,0,-23.1,15.0,279.41655283823115,0.05835658907638432,5.864362663398368
24,0,-22.8,15.0,279.1233419117792,0.058487557602443306,5.864074243268889
25,0,-22.5,15.0,278.8301454290766,0.058618810336121575,5.863784912796954
26,0,-22.2,15.0,278.53696343573506,0.05875034819900204,5.8634946681926365
27,0,-21.9,15.0,278.2437959775563,0.05888217211663651,5.863203505646508
28,0,-21.6,15.0,277.9506431005332,0.05901428301856702,5.862911421329516
29,0,-21.3,15.0,277.6575048508504,0.059146681838347266,5.8626184113928685
30,0,-21.0,15.0,277.3643812748854,0.059279369513564016,5.8623244719679155
